source,target,type,weight,label
term_aixterm,term_cool_retro_term,similarity,1.0,core similarity 100%
term_aixterm,term_eterm,similarity,1.0,core similarity 100%
term_aixterm,term_tek4010,similarity,1.0,core similarity 100%
term_aterm,term_cool_retro_term,similarity,1.0,core similarity 100%
term_aterm,term_eterm,similarity,1.0,core similarity 100%
term_aterm,term_tek4010,similarity,1.0,core similarity 100%
term_cool_retro_term,term_eterm,similarity,1.0,core similarity 100%
term_eterm,term_tek4010,similarity,1.0,core similarity 100%
term_eterm,term_termite,similarity,1.0,core similarity 100%
term_black_box,term_evilvte,similarity,1.0,core similarity 100%
term_deepin_terminal,term_evilvte,similarity,1.0,core similarity 100%
term_evilvte,term_gnome_console_kgx,similarity,1.0,core similarity 100%
term_fbpad,term_linux_console,similarity,0.7,core similarity 70%
term_fbpad,term_fbterm,similarity,0.7,core similarity 70%
term_fbpad,term_yaft,similarity,0.7,core similarity 70%
term_alacritty,term_foot,similarity,1.0,core similarity 100%
term_foot,term_rio,similarity,1.0,core similarity 100%
term_darktile,term_foot,similarity,1.0,core similarity 100%
term_black_box,term_gnome_console_kgx,similarity,1.0,core similarity 100%
term_deepin_terminal,term_gnome_console_kgx,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_gnome_terminal,similarity,1.0,core similarity 100%
term_black_box,term_gnome_terminal,similarity,1.0,core similarity 100%
term_deepin_terminal,term_gnome_terminal,similarity,1.0,core similarity 100%
term_black_box,term_kermit_vte_terminal,similarity,1.0,core similarity 100%
term_deepin_terminal,term_kermit_vte_terminal,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_kermit_vte_terminal,similarity,1.0,core similarity 100%
term_black_box,term_lcxterm,similarity,1.0,core similarity 100%
term_deepin_terminal,term_lcxterm,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_lcxterm,similarity,1.0,core similarity 100%
term_black_box,term_lilyterm,similarity,1.0,core similarity 100%
term_deepin_terminal,term_lilyterm,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_lilyterm,similarity,1.0,core similarity 100%
term_fbterm,term_linux_console,similarity,1.0,core similarity 100%
term_linux_console,term_yaft,similarity,1.0,core similarity 100%
term_black_box,term_lterm,similarity,1.0,core similarity 100%
term_deepin_terminal,term_lterm,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_lterm,similarity,1.0,core similarity 100%
term_black_box,term_lxterminal,similarity,1.0,core similarity 100%
term_deepin_terminal,term_lxterminal,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_lxterminal,similarity,1.0,core similarity 100%
term_black_box,term_mate_terminal,similarity,1.0,core similarity 100%
term_deepin_terminal,term_mate_terminal,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_mate_terminal,similarity,1.0,core similarity 100%
term_black_box,term_mrxvt,similarity,1.0,core similarity 100%
term_deepin_terminal,term_mrxvt,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_mrxvt,similarity,1.0,core similarity 100%
term_black_box,term_ptyxis,similarity,1.0,core similarity 100%
term_deepin_terminal,term_ptyxis,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_ptyxis,similarity,1.0,core similarity 100%
term_black_box,term_roxterm,similarity,1.0,core similarity 100%
term_deepin_terminal,term_roxterm,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_roxterm,similarity,1.0,core similarity 100%
term_cool_retro_term,term_rxvt,similarity,1.0,core similarity 100%
term_eterm,term_rxvt,similarity,1.0,core similarity 100%
term_rxvt,term_tek4010,similarity,1.0,core similarity 100%
term_black_box,term_sakura,similarity,1.0,core similarity 100%
term_deepin_terminal,term_sakura,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_sakura,similarity,1.0,core similarity 100%
term_st_suckless_terminal,term_stjerm,similarity,0.7,core similarity 70%
term_cool_retro_term,term_st_suckless_terminal,similarity,0.65,core similarity 65%
term_eterm,term_st_suckless_terminal,similarity,0.65,core similarity 65%
term_black_box,term_stjerm,similarity,0.65,core similarity 65%
term_deepin_terminal,term_stjerm,similarity,0.65,core similarity 65%
term_black_box,term_svte,similarity,1.0,core similarity 100%
term_deepin_terminal,term_svte,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_svte,similarity,1.0,core similarity 100%
term_black_box,term_terminology,similarity,1.0,core similarity 100%
term_deepin_terminal,term_terminology,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_terminology,similarity,1.0,core similarity 100%
term_black_box,term_termit,similarity,1.0,core similarity 100%
term_deepin_terminal,term_termit,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_termit,similarity,1.0,core similarity 100%
term_cool_retro_term,term_termite,similarity,1.0,core similarity 100%
term_tek4010,term_termite,similarity,1.0,core similarity 100%
term_black_box,term_tilda,similarity,1.0,core similarity 100%
term_deepin_terminal,term_tilda,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_tilda,similarity,1.0,core similarity 100%
term_alacritty,term_wayst,similarity,1.0,core similarity 100%
term_foot,term_wayst,similarity,1.0,core similarity 100%
term_rio,term_wayst,similarity,1.0,core similarity 100%
term_black_box,term_xfce4_terminal,similarity,1.0,core similarity 100%
term_deepin_terminal,term_xfce4_terminal,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_xfce4_terminal,similarity,1.0,core similarity 100%
term_cool_retro_term,term_xterm,similarity,1.0,core similarity 100%
term_eterm,term_xterm,similarity,1.0,core similarity 100%
term_tek4010,term_xterm,similarity,1.0,core similarity 100%
term_black_box,term_xvt,similarity,1.0,core similarity 100%
term_deepin_terminal,term_xvt,similarity,1.0,core similarity 100%
term_gnome_console_kgx,term_xvt,similarity,1.0,core similarity 100%
term_fbterm,term_yaft,similarity,1.0,core similarity 100%
term_cosmic_terminal,term_kitty,similarity,1.0,core similarity 100%
term_contour,term_kitty,similarity,1.0,core similarity 100%
term_ghostty,term_kitty,similarity,1.0,core similarity 100%
term_contour,term_cosmic_terminal,similarity,1.0,core similarity 100%
term_contour,term_ghostty,similarity,1.0,core similarity 100%
term_black_box,term_deepin_terminal,similarity,1.0,core similarity 100%
term_cool_retro_term,term_fingerterm,similarity,1.0,core similarity 100%
