id,name,group,mean_similarity,top_similarity,roles,outlier_score,boundary_score,degree,representative_sets
term_aixterm,aixterm,Classic terminals,0.5364,1.0,['cluster member'],0.4636,1,5,[]
term_aterm,aterm,Classic terminals,0.5364,1.0,['cluster member'],0.4636,1,5,[]
term_eterm,Eterm,Classic terminals,0.5364,1.0,['bridge between groups'],0.4636,4,12,[]
term_evilvte,evilvte,VTE terminals,0.6227,1.0,['cluster core'],0.3773,1,5,[]
term_fbpad,fbpad,Minimal terminals,0.2197,0.7,['boundary / unusual design'],0.7803,0,3,[]
term_foot,Foot,GPU-native terminals,0.2182,1.0,"['boundary / unusual design', 'representative basis member']",0.7818,0,8,"['recommended_10', 'expanded_12']"
term_gnome_console_kgx,GNOME Console,VTE terminals,0.6227,1.0,"['cluster core', 'bridge between groups']",0.3773,8,29,[]
term_gnome_terminal,GNOME Terminal,VTE terminals,0.6227,1.0,"['cluster core', 'bridge between groups', 'representative basis member']",0.3773,4,7,"['recommended_10', 'expanded_12']"
term_kermit_vte_terminal,kermit,VTE terminals,0.6227,1.0,['cluster core'],0.3773,1,5,[]
term_lcxterm,lcxterm,VTE terminals,0.6227,1.0,['cluster core'],0.3773,1,7,[]
term_lilyterm,lilyterm,VTE terminals,0.6227,1.0,['cluster core'],0.3773,1,5,[]
term_linux_console,Linux console,Minimal terminals,0.1333,1.0,"['boundary / unusual design', 'representative basis member']",0.8667,0,4,"['strict_minimum_4', 'recommended_10', 'expanded_12']"
term_lterm,lterm,VTE terminals,0.6227,1.0,['cluster core'],0.3773,1,5,[]
term_lxterminal,LXTerminal,VTE terminals,0.6227,1.0,['cluster core'],0.3773,1,5,[]
term_mate_terminal,Mate Terminal,VTE terminals,0.6227,1.0,"['cluster core', 'representative basis member']",0.3773,1,5,"['recommended_10', 'expanded_12']"
term_mrxvt,mrxvt,Classic terminals,0.6227,1.0,"['cluster core', 'bridge between groups']",0.3773,3,5,[]
term_ptyxis,Ptyxis,VTE terminals,0.6227,1.0,['cluster core'],0.3773,1,5,[]
term_roxterm,ROXTerm,VTE terminals,0.6227,1.0,['cluster core'],0.3773,1,5,[]
term_rxvt,rxvt,Classic terminals,0.5364,1.0,['cluster member'],0.4636,1,5,[]
term_sakura,Sakura,VTE terminals,0.6227,1.0,['cluster core'],0.3773,1,7,[]
term_st_suckless_terminal,st,Minimal terminals,0.3455,0.7,['representative basis member'],0.6545,2,5,['expanded_12']
term_stjerm,stjerm,Minimal terminals,0.4318,0.7,['cluster member'],0.5682,2,4,[]
term_svte,svte,VTE terminals,0.6227,1.0,['cluster core'],0.3773,1,6,[]
term_terminology,Terminology,Classic terminals,0.6227,1.0,"['cluster core', 'bridge between groups']",0.3773,3,7,[]
term_termit,Termit,VTE terminals,0.6227,1.0,['cluster core'],0.3773,1,5,[]
term_termite,Termite,VTE terminals,0.5364,1.0,['bridge between groups'],0.4636,3,7,[]
term_tilda,Tilda,VTE terminals,0.6227,1.0,['cluster core'],0.3773,1,5,[]
term_wayst,wayst,GPU-native terminals,0.2182,1.0,['boundary / unusual design'],0.7818,0,5,[]
term_xfce4_terminal,xfce4-terminal,VTE terminals,0.6227,1.0,['cluster core'],0.3773,1,4,[]
term_xterm,xterm,Classic terminals,0.5364,1.0,['representative basis member'],0.4636,1,5,"['recommended_10', 'expanded_12']"
term_xvt,xvt,Classic terminals,0.6227,1.0,"['cluster core', 'bridge between groups']",0.3773,3,4,[]
term_yaft,yaft,Minimal terminals,0.1333,1.0,['boundary / unusual design'],0.8667,0,4,[]
